PID,Benchmark,WCET,Period,Deadline,Criticality,TempSens,LoadSens,Energy,Predecessors
T53,Malardalen,1.89,89.62,20.49,Low,1.02,1.09,1.19,T52
T54,EEMBC,23.87,133.26,40.37,High,0.86,1.16,30.08,T53
T55,PapaBench,1.68,53.76,51.42,High,0.88,1.16,1.19,T54
T56,EEMBC,25.49,152.73,133.57,Low,1.23,1.13,40.27,T55
T57,PapaBench,1.81,89.83,42.67,Low,1.3,1.29,1.39,T56
T58,Malardalen,0.35,86.54,70.6,Low,1.34,1.24,0.35,T57
T59,TACLeBench,4.61,116.6,86.54,High,1.06,0.94,6.73,T58
T60,MiBench,36.62,429.1,368.1,High,1.04,1.05,66.65,T59
T61,TACLeBench,19.91,150.79,101.86,Low,0.88,1.13,21.3,T46
T62,MiBench,44.42,152.53,99.85,High,1.17,1.07,53.75,T61
T63,TACLeBench,16.6,190.24,145.54,High,1.18,0.94,22.91,T62
T64,MiBench,26.81,285.86,99.83,Low,0.92,1.26,31.64,T63
T65,TACLeBench,9.02,141.03,86.57,Low,1.48,1.37,7.22,T64
T66,PapaBench,1.2,184.68,87.05,High,1.02,1.13,1.37,T65
T67,EEMBC,11.29,158.58,144.38,High,0.85,1.24,25.4,T66
T68,EEMBC,17.01,111.76,67.86,Low,0.96,0.9,20.75,T67
T69,TACLeBench,10.49,89.17,64.24,Low,0.93,1.11,11.33,T68
T70,Malardalen,0.88,19.42,19.07,High,1.24,0.9,0.79,T69
T71,Malardalen,1.22,89.05,21.29,High,1.06,0.9,1.2,T49
T72,Malardalen,1.5,39.84,15.79,High,0.91,0.96,1.17,T71
T73,Malardalen,1.77,21.04,19.85,High,1.32,0.9,1.1,T72
T74,TACLeBench,2.73,104.69,92.24,High,1.46,0.87,3.0,T73
T75,EEMBC,29.74,174.88,163.33,High,1.13,1.11,43.72,T74
T76,Malardalen,1.42,54.23,21.63,Low,0.98,1.38,0.89,T75
T77,EEMBC,8.57,162.95,13.71,Low,1.13,0.98,20.23,T76
T78,EEMBC,5.32,95.54,32.4,Low,1.29,1.34,7.24,T77
T79,TACLeBench,8.56,104.04,46.48,Low,1.33,1.02,8.47,T78
T80,EEMBC,20.23,247.01,35.87,High,1.47,0.92,25.49,T79
T81,MiBench,39.32,366.32,102.0,High,0.93,1.04,40.5,T40
T82,TACLeBench,5.54,76.82,17.04,Low,1.31,0.93,6.09,T81
T83,MiBench,7.88,246.48,73.05,Low,1.04,1.3,14.97,T82
T84,TACLeBench,8.72,147.94,57.52,High,1.02,1.02,7.85,T83
T85,Malardalen,0.94,32.25,25.86,High,1.36,1.14,0.88,T84
T86,EEMBC,15.33,176.74,36.18,Low,0.84,1.2,33.88,T85
T87,Malardalen,1.93,47.56,36.64,High,1.18,1.35,1.6,T86
T88,PapaBench,0.4,43.73,37.87,High,1.11,1.36,0.4,T87
T89,Malardalen,0.54,91.69,0.62,High,1.11,0.81,0.52,T88
T90,EEMBC,4.65,149.38,65.76,Low,0.91,1.07,8.74,T89
T91,EEMBC,10.02,75.21,32.72,Low,1.03,1.14,16.13,T38
T92,PapaBench,1.63,47.42,34.99,Low,1.11,1.35,1.06,T91
T93,Malardalen,1.49,72.54,27.34,High,1.29,1.3,1.21,T92
T94,EEMBC,1.71,108.5,35.79,Low,1.01,1.03,2.36,T93
T95,EEMBC,15.77,71.46,50.49,High,1.19,1.16,21.92,T94
T96,Malardalen,0.31,12.61,5.37,High,1.12,1.31,0.27,T95
T97,PapaBench,1.18,138.89,113.01,Low,0.94,1.28,1.33,T96
T98,TACLeBench,18.1,141.24,30.84,Low,1.47,1.26,14.84,T97
T99,TACLeBench,19.75,147.93,71.18,Low,1.01,1.32,29.23,T98
T100,PapaBench,3.55,28.66,23.51,High,0.83,0.93,2.73,T99
T101,EEMBC,14.35,136.54,32.92,Low,0.98,1.32,22.82,T64
T102,MiBench,42.0,277.06,109.67,High,0.98,1.21,72.24,T101
T103,MiBench,37.61,181.15,87.55,Low,1.31,1.34,63.56,T102
T104,EEMBC,1.89,138.76,36.42,High,1.09,1.28,2.85,T103
T105,PapaBench,4.2,39.47,6.18,Low,1.17,0.83,4.33,T104
T106,MiBench,25.23,175.46,78.06,High,0.94,0.9,44.15,T105
T107,TACLeBench,17.51,199.95,40.86,High,1.49,1.05,21.01,T106
T108,MiBench,9.45,214.2,33.32,High,1.29,1.38,17.67,T107
T109,MiBench,25.43,382.59,271.55,Low,0.89,1.19,28.48,T108
T110,TACLeBench,4.21,134.38,46.11,Low,1.13,0.89,3.66,T109
T111,Malardalen,1.86,25.51,2.32,High,0.89,0.87,1.3,T49
T112,PapaBench,2.01,102.4,16.16,Low,1.0,1.01,1.27,T111
T113,EEMBC,28.97,133.99,94.37,High,0.97,1.28,35.92,T112
T114,MiBench,44.3,136.32,81.12,High,1.08,0.98,48.29,T113
T115,PapaBench,3.54,80.37,41.29,High,1.26,1.27,2.16,T114
T116,TACLeBench,5.72,97.26,52.87,High,1.01,1.16,7.09,T115
T117,TACLeBench,11.92,194.88,17.28,High,1.36,1.07,17.4,T116
T118,TACLeBench,9.3,154.81,136.58,Low,0.96,1.1,8.37,T117
T119,MiBench,30.17,292.45,60.67,Low,1.03,1.24,35.3,T118
T120,Malardalen,0.45,49.2,17.34,High,1.07,1.32,0.3,T119
T121,Malardalen,0.37,63.2,63.06,High,1.32,1.25,0.33,T91
T122,TACLeBench,18.09,165.92,116.09,High,1.05,1.15,19.18,T121
T123,Malardalen,1.91,67.28,20.12,Low,1.17,1.13,0.97,T122
T124,EEMBC,26.2,180.99,104.88,Low,1.26,1.38,45.33,T123
T125,PapaBench,4.9,143.03,78.4,High,1.43,1.22,5.19,T124
T126,Malardalen,1.32,15.43,3.72,High,0.81,1.04,1.29,T125
T127,EEMBC,16.1,117.52,19.54,Low,1.16,1.03,23.99,T126
T128,MiBench,16.51,295.67,72.17,Low,1.36,1.07,19.81,T127
T129,EEMBC,5.44,175.47,84.05,High,1.17,1.18,7.29,T128
T130,Malardalen,1.56,50.4,9.73,Low,1.44,0.84,0.92,T129
T131,MiBench,44.21,116.85,84.88,Low,1.1,1.38,45.98,T34
T132,EEMBC,11.6,78.63,53.18,High,1.41,0.92,26.22,T131
T133,MiBench,33.01,355.59,103.49,Low,1.24,0.96,46.21,T132
T134,EEMBC,25.86,264.37,158.57,Low,1.14,1.14,50.94,T133
T135,TACLeBench,11.53,94.91,35.77,Low,1.1,1.31,17.06,T134
T136,Malardalen,1.32,16.47,6.93,High,0.93,1.12,0.69,T135
T137,Malardalen,1.89,54.57,27.05,High,1.34,1.37,1.59,T136
T138,PapaBench,0.85,144.04,52.6,Low,1.01,1.2,0.59,T137
T139,MiBench,44.48,295.67,210.36,Low,1.22,1.3,76.06,T138
T140,TACLeBench,8.35,77.18,38.43,Low,1.24,1.18,9.6,T139
T141,Malardalen,0.87,89.55,57.17,Low,1.36,1.26,0.81,T112
T142,MiBench,39.87,292.49,245.89,High,1.42,0.86,50.24,T141
T143,Malardalen,1.65,38.64,34.59,High,1.39,1.38,1.04,T142
T144,TACLeBench,13.92,109.99,103.8,Low,1.24,1.37,13.5,T143
T145,TACLeBench,6.24,104.84,43.53,Low,0.9,1.0,6.36,T144
T146,MiBench,48.16,299.29,199.43,High,1.07,0.9,63.09,T145
T147,MiBench,29.58,214.22,70.85,High,1.21,1.37,47.03,T146
T148,Malardalen,1.45,32.39,9.42,High,1.05,0.92,1.32,T147
T149,PapaBench,0.45,32.27,31.42,Low,1.27,1.23,0.54,T148
T150,Malardalen,0.14,28.02,20.05,High,1.06,0.93,0.11,T149
T151,EEMBC,14.46,147.03,38.79,Low,1.49,1.08,36.01,T83
T152,EEMBC,16.97,244.98,241.69,High,1.37,1.08,29.53,T151
T153,MiBench,22.82,275.55,148.6,High,1.35,1.32,32.63,T152
T154,MiBench,45.88,252.09,79.38,Low,1.44,1.02,50.01,T153
T155,MiBench,17.1,100.84,35.92,High,0.94,1.24,23.6,T154
T156,TACLeBench,1.23,124.11,89.25,High,0.82,0.88,1.02,T155
T157,MiBench,24.48,155.02,118.92,Low,1.0,1.15,38.43,T156
T158,MiBench,10.66,283.45,223.37,Low,1.46,1.12,19.61,T157
T159,Malardalen,1.39,24.86,9.66,Low,0.85,0.98,0.78,T158
T160,PapaBench,3.81,200.62,29.75,High,1.06,1.06,3.92,T159
T161,EEMBC,27.08,111.22,62.29,High,1.04,0.92,59.03,T19
T162,TACLeBench,18.55,56.77,53.64,Low,1.16,0.99,17.99,T161
T163,EEMBC,6.82,113.1,104.26,Low,1.39,1.31,8.93,T162
T164,EEMBC,12.44,240.05,124.08,High,1.08,1.19,30.6,T163
T165,MiBench,20.61,238.27,72.92,Low,1.36,1.28,36.48,T164
T166,Malardalen,0.93,91.18,38.75,High,1.35,1.08,0.87,T165
T167,PapaBench,2.74,156.54,90.23,High,1.16,1.14,3.01,T166
T168,PapaBench,3.03,49.05,19.46,High,1.34,1.36,3.42,T167
T169,EEMBC,17.77,225.05,207.52,High,1.21,1.18,22.39,T168
T170,TACLeBench,1.11,88.89,44.78,Low,1.48,1.33,1.53,T169
T171,MiBench,37.84,388.68,381.84,Low,0.98,0.86,63.57,T152
T172,TACLeBench,9.19,149.47,19.22,Low,1.01,0.85,7.63,T171
T173,EEMBC,20.46,135.1,36.81,High,1.38,1.16,33.35,T172
T174,PapaBench,3.43,25.88,4.49,High,1.17,0.86,2.85,T173
T175,TACLeBench,4.38,110.41,4.95,High,1.02,1.18,3.59,T174
T176,EEMBC,24.25,215.82,25.86,High,1.44,1.12,42.44,T175
T177,Malardalen,1.25,36.57,3.61,High,1.49,0.99,0.8,T176
T178,MiBench,43.05,496.39,309.14,Low,0.93,1.36,69.31,T177
T179,Malardalen,0.71,21.13,10.7,High,1.22,1.32,0.68,T178
T180,TACLeBench,12.78,53.02,32.51,Low,1.27,0.88,17.89,T179
T181,Malardalen,1.84,97.59,44.91,High,1.4,1.07,0.96,T145
T182,PapaBench,1.47,31.34,9.78,High,1.49,1.39,1.46,T181
T183,PapaBench,4.65,168.94,26.57,High,0.82,0.86,5.3,T182
T184,Malardalen,1.4,73.64,71.87,Low,0.84,1.04,1.2,T183
T185,TACLeBench,11.81,82.88,33.54,Low,0.96,1.25,10.75,T184
T186,Malardalen,0.68,47.66,17.27,High,1.38,1.27,0.55,T185
T187,Malardalen,1.57,82.58,66.97,Low,0.94,1.02,1.54,T186
T188,MiBench,21.67,340.77,174.99,Low,1.38,1.36,24.49,T187
T189,EEMBC,6.82,77.57,14.39,High,1.04,1.18,16.91,T188
T190,MiBench,20.43,462.88,420.18,High,0.88,1.32,30.64,T189
T191,PapaBench,3.81,175.98,127.89,Low,0.83,1.04,2.63,T84
T192,PapaBench,3.53,47.47,40.77,Low,1.35,1.14,3.11,T191
T193,Malardalen,1.44,29.58,14.4,Low,0.9,1.1,0.79,T192
T194,MiBench,7.81,299.3,65.16,Low,0.87,0.91,11.79,T193
T195,TACLeBench,14.35,195.94,144.1,Low,0.95,1.39,17.51,T194
T196,MiBench,43.82,440.78,408.88,Low,0.93,0.88,68.36,T195
T197,Malardalen,1.82,47.35,37.34,High,1.39,1.09,0.96,T196
T198,Malardalen,1.9,88.57,76.1,Low,1.47,1.1,1.82,T197
T199,EEMBC,4.48,80.09,73.15,Low,1.44,0.83,7.39,T198
T200,MiBench,33.33,244.95,122.62,Low,1.34,1.25,36.33,T199
T201,Malardalen,1.54,79.14,73.31,High,1.32,1.13,1.0,T11
T202,MiBench,38.01,403.36,321.68,Low,0.88,0.81,46.37,T201
T203,Malardalen,1.2,95.17,42.52,Low,0.81,1.0,0.84,T202
T204,TACLeBench,19.31,128.72,22.08,Low,1.19,0.87,17.19,T203
T205,MiBench,41.81,456.63,409.92,Low,1.33,0.92,79.86,T204
T206,EEMBC,9.52,260.85,255.98,High,1.42,1.22,18.56,T205
T207,TACLeBench,5.58,149.42,20.57,Low,1.22,0.97,6.7,T206
T208,PapaBench,0.56,175.79,103.26,Low,1.48,1.31,0.51,T207
T209,PapaBench,0.48,38.54,32.63,Low,1.11,0.9,0.44,T208
T210,TACLeBench,15.53,150.59,50.71,High,0.82,0.84,13.98,T209
T211,Malardalen,1.82,75.13,57.68,High,1.16,0.97,1.8,T80
T212,EEMBC,7.91,208.21,20.09,High,1.3,0.8,16.53,T211
T213,Malardalen,0.16,14.49,10.08,Low,0.9,1.2,0.13,T212
T214,TACLeBench,3.56,133.2,33.75,Low,1.22,1.13,5.02,T213
T215,TACLeBench,4.32,198.02,86.18,High,1.07,1.37,5.1,T214
T216,MiBench,24.82,280.77,249.0,Low,1.42,1.0,36.98,T215
T217,EEMBC,24.25,179.43,24.46,High,0.87,1.18,55.05,T216
T218,Malardalen,0.6,53.56,22.67,Low,1.01,1.03,0.51,T217
T219,PapaBench,0.91,63.24,61.52,High,1.11,1.19,0.6,T218
T220,Malardalen,1.78,22.57,12.66,High,1.15,1.26,1.5,T219
T221,TACLeBench,18.74,67.7,32.04,Low,1.24,1.35,21.55,T98
T222,PapaBench,2.06,213.59,207.47,High,0.99,1.19,1.71,T221
T223,EEMBC,10.78,111.35,84.25,High,1.49,0.83,19.84,T222
T224,TACLeBench,16.16,130.12,88.11,High,1.0,1.35,17.78,T223
T225,EEMBC,17.27,69.35,54.27,Low,1.33,0.95,33.85,T224
T226,Malardalen,0.74,76.57,21.37,High,1.19,0.94,0.52,T225
T227,Malardalen,1.96,20.83,9.97,High,1.07,0.86,1.47,T226
T228,PapaBench,3.89,245.81,188.31,High,1.01,1.08,2.72,T227
T229,TACLeBench,18.97,187.48,44.14,High,1.4,1.06,25.8,T228
T230,EEMBC,11.2,185.4,81.09,High,1.47,1.33,21.84,T229
T231,TACLeBench,2.33,130.43,102.64,Low,1.15,0.84,2.45,T119
T232,TACLeBench,8.18,68.35,53.75,High,1.16,1.13,6.71,T231
T233,MiBench,17.44,357.01,355.1,High,1.36,1.36,19.18,T232
T234,MiBench,16.04,216.73,135.22,Low,1.25,0.83,28.23,T233
T235,TACLeBench,9.45,60.36,27.06,Low,1.21,1.02,9.45,T234
T236,Malardalen,0.25,71.02,62.03,High,0.86,1.24,0.23,T235
T237,Malardalen,0.88,92.23,20.01,High,1.47,1.02,0.69,T236
T238,Malardalen,0.39,79.71,34.41,Low,1.15,0.84,0.3,T237
T239,MiBench,6.62,149.29,60.78,High,1.41,1.34,11.72,T238
T240,MiBench,25.82,293.67,203.75,Low,0.93,0.97,35.12,T239
T241,Malardalen,1.31,70.09,9.82,High,1.42,1.03,0.89,T46
T242,PapaBench,3.48,120.33,48.36,High,1.22,1.08,2.58,T241
T243,Malardalen,1.48,25.7,18.51,High,1.31,1.27,0.86,T242
T244,EEMBC,28.07,105.35,62.53,Low,0.95,1.31,53.61,T243
T245,MiBench,49.67,330.36,158.08,High,1.17,1.32,69.54,T244
T246,Malardalen,0.61,95.41,62.14,High,1.19,1.33,0.36,T245
T247,EEMBC,7.51,72.73,22.14,Low,1.18,1.22,14.87,T246
T248,PapaBench,0.64,60.82,45.24,High,1.38,1.11,0.42,T247
T249,TACLeBench,7.37,146.7,61.33,Low,1.16,0.82,7.37,T248
T250,TACLeBench,3.61,132.04,124.42,Low,0.96,0.88,4.98,T249
T251,PapaBench,1.3,124.68,44.77,High,0.96,1.05,0.92,T190
T252,EEMBC,19.78,52.8,22.36,Low,1.23,1.28,26.11,T251
T253,Malardalen,1.17,83.95,26.06,High,1.21,0.97,0.87,T252
T254,EEMBC,24.06,178.96,103.68,Low,1.01,1.34,46.92,T253
T255,Malardalen,1.06,25.87,13.98,Low,1.47,0.8,0.98,T254
T256,TACLeBench,12.87,103.61,71.72,Low,1.25,1.19,15.83,T255
T257,TACLeBench,11.65,86.72,20.29,Low,1.3,0.95,9.9,T256
T258,EEMBC,12.31,154.44,144.67,Low,0.91,1.34,18.34,T257
T259,MiBench,15.03,497.96,227.1,Low,1.27,1.34,23.0,T258
T260,Malardalen,0.56,20.84,20.64,Low,1.15,0.91,0.48,T259
T261,Malardalen,0.14,64.4,17.65,High,1.07,1.3,0.09,T224
T262,MiBench,14.02,369.28,88.64,Low,1.06,0.91,16.68,T261
T263,MiBench,30.91,101.1,40.28,Low,1.39,0.94,44.2,T262
T264,MiBench,47.75,389.07,368.79,Low,0.91,0.86,91.2,T263
T265,Malardalen,1.05,13.75,8.59,High,0.89,1.1,0.73,T264
T266,MiBench,24.52,150.58,112.31,Low,0.84,1.24,26.24,T265
T267,EEMBC,26.36,251.16,208.15,Low,1.24,1.38,62.47,T266
T268,Malardalen,1.85,93.45,90.41,High,1.17,0.93,1.04,T267
T269,EEMBC,25.09,170.28,139.1,High,1.32,1.21,34.62,T268
T270,MiBench,14.54,146.52,40.82,Low,0.9,1.06,19.77,T269
T271,Malardalen,1.64,99.41,71.61,Low,1.43,1.04,1.13,T7
T272,MiBench,41.46,224.73,95.32,Low,0.91,0.9,55.97,T271
T273,PapaBench,4.21,89.56,28.84,High,1.15,1.19,2.9,T272
T274,Malardalen,0.75,51.95,21.33,Low,1.16,1.39,0.52,T273
T275,Malardalen,1.04,17.47,12.84,High,1.18,1.27,0.81,T274
T276,EEMBC,15.8,137.55,90.89,Low,1.43,1.28,33.18,T275
T277,TACLeBench,12.61,88.26,42.92,Low,1.02,1.07,15.13,T276
T278,PapaBench,4.55,62.62,24.22,High,1.34,1.19,4.0,T277
T279,EEMBC,12.55,298.71,245.27,Low,0.88,1.4,21.34,T278
T280,MiBench,24.29,397.2,29.22,Low,1.1,1.17,28.66,T279
T281,TACLeBench,18.85,111.06,19.44,High,1.29,1.1,19.98,T257
T282,PapaBench,3.48,119.06,102.83,High,1.0,1.35,2.78,T281
T283,Malardalen,0.91,44.14,26.29,Low,0.92,1.04,0.88,T282
T284,TACLeBench,14.67,120.27,64.92,High,1.11,0.85,17.31,T283
T285,TACLeBench,16.56,129.5,80.43,High,1.06,1.37,15.07,T284
T286,MiBench,48.63,226.66,173.48,Low,1.18,1.19,71.97,T285
T287,PapaBench,2.69,151.85,113.53,High,1.38,0.93,2.31,T286
T288,PapaBench,2.2,142.01,28.5,Low,1.35,1.14,2.44,T287
T289,MiBench,14.56,286.57,119.77,High,1.38,0.89,24.46,T288
T290,PapaBench,2.78,156.04,112.09,High,1.4,1.03,2.95,T289
T291,MiBench,23.91,262.81,64.86,Low,1.2,1.12,33.47,T198
T292,TACLeBench,18.78,81.32,62.36,Low,0.83,1.21,19.53,T291
T293,EEMBC,7.79,160.22,63.97,Low,1.18,0.96,15.81,T292
T294,PapaBench,2.62,67.18,9.73,Low,0.87,0.92,1.68,T293
T295,Malardalen,0.49,85.02,31.34,Low,0.84,0.93,0.39,T294
T296,PapaBench,0.31,226.42,132.61,Low,1.23,1.37,0.28,T295
T297,TACLeBench,4.59,66.88,37.93,High,0.87,1.34,5.65,T296
T298,MiBench,43.2,224.05,73.28,Low,1.41,1.27,81.22,T297
T299,EEMBC,27.65,189.55,127.92,Low,1.03,1.39,55.02,T298
T300,MiBench,40.17,264.61,192.21,High,0.86,0.98,63.07,T299
T301,MiBench,24.89,248.42,187.56,High,0.84,1.34,34.1,T230
T302,MiBench,11.53,240.58,225.7,Low,0.86,1.0,16.03,T301
T303,MiBench,35.92,370.02,287.81,Low,0.83,1.4,65.73,T302
T304,MiBench,16.94,230.14,76.48,High,1.41,0.9,33.2,T303
T305,EEMBC,17.43,188.63,133.9,Low,1.11,0.9,32.94,T304
T306,MiBench,47.15,231.39,166.16,Low,0.86,1.25,66.95,T305
T307,PapaBench,4.93,127.12,62.03,High,1.07,0.86,5.32,T306
T308,EEMBC,12.06,242.29,192.59,Low,0.86,1.03,21.23,T307
T309,EEMBC,9.86,205.31,129.63,Low,0.82,0.82,13.51,T308
T310,MiBench,10.03,160.56,87.27,Low,1.43,1.05,12.74,T309
T311,MiBench,18.63,137.29,92.9,Low,0.8,0.96,36.33,T123
T312,PapaBench,1.75,216.59,211.57,High,1.14,1.2,1.77,T311
T313,Malardalen,0.5,21.0,3.5,Low,1.3,1.33,0.45,T312
T314,Malardalen,1.87,90.88,9.62,High,1.21,0.8,1.25,T313
T315,EEMBC,5.48,155.54,61.49,High,1.48,0.92,7.23,T314
T316,TACLeBench,12.78,141.04,99.94,Low,1.31,1.31,14.44,T315
T317,EEMBC,6.13,202.99,48.71,Low,1.3,1.18,7.42,T316
T318,MiBench,47.47,435.86,224.98,Low,1.34,0.98,77.38,T317
T319,TACLeBench,2.53,65.52,32.62,Low,1.31,0.98,2.93,T318
T320,TACLeBench,9.24,183.77,136.58,High,1.32,1.08,7.67,T319
T321,MiBench,29.32,183.48,91.48,Low,1.04,0.83,51.9,T111
T322,TACLeBench,15.0,75.92,39.23,High,0.87,0.95,20.7,T321
T323,Malardalen,1.01,37.31,13.34,Low,1.5,1.06,0.89,T322
T324,TACLeBench,6.13,95.27,45.0,Low,1.26,1.12,5.33,T323
T325,TACLeBench,10.1,104.1,43.51,Low,0.89,1.16,9.8,T324
T326,Malardalen,0.63,29.24,19.5,Low,0.86,0.95,0.52,T325
T327,EEMBC,22.15,268.1,71.46,Low,0.99,1.28,40.31,T326
T328,PapaBench,2.26,182.51,59.14,High,1.1,0.96,1.47,T327
T329,PapaBench,1.26,140.54,18.83,Low,0.99,0.95,1.2,T328
T330,MiBench,36.15,434.53,376.53,Low,1.48,1.22,42.66,T329
T331,MiBench,40.19,227.03,109.11,Low,1.14,1.28,46.62,T146
T332,MiBench,14.19,183.72,116.64,Low,1.31,1.34,27.81,T331
T333,Malardalen,1.81,12.02,3.91,High,0.94,1.4,1.43,T332
T334,MiBench,16.12,286.01,74.72,Low,1.24,1.39,32.08,T333
T335,EEMBC,11.27,104.36,34.12,Low,1.07,1.3,16.68,T334
T336,MiBench,31.95,160.92,89.83,High,0.85,1.14,63.58,T335
T337,TACLeBench,7.83,83.0,17.54,High,1.49,1.32,8.85,T336
T338,TACLeBench,5.15,186.45,32.55,Low,1.44,1.34,4.84,T337
T339,PapaBench,1.44,30.25,4.35,High,1.44,1.2,1.17,T338
T340,Malardalen,1.37,39.86,6.56,High,1.42,1.22,1.29,T339
T341,EEMBC,25.3,272.92,118.2,High,1.41,1.25,50.6,T241
T342,EEMBC,29.64,158.63,91.99,Low,0.98,1.29,50.68,T341
T343,TACLeBench,9.61,65.48,48.24,Low,1.4,0.91,8.36,T342
T344,MiBench,36.42,271.63,38.97,Low,1.43,1.25,37.15,T343
T345,Malardalen,1.38,55.09,31.25,High,1.32,0.83,1.13,T344
T346,TACLeBench,12.68,73.28,49.4,High,1.36,1.13,15.98,T345
T347,EEMBC,12.15,52.28,25.18,Low,0.84,0.81,22.84,T346
T348,EEMBC,19.32,98.62,45.17,High,1.2,1.2,26.28,T347
T349,Malardalen,0.49,18.71,7.66,Low,0.99,1.22,0.42,T348
T350,Malardalen,0.72,20.99,20.35,Low,1.43,0.86,0.48,T349
T351,EEMBC,18.33,218.22,147.25,Low,1.06,0.85,32.81,T189
T352,Malardalen,0.7,31.49,18.73,High,1.42,0.89,0.6,T351
T353,MiBench,34.62,441.68,412.71,High,1.21,1.39,41.89,T352
T354,PapaBench,1.6,113.39,45.7,Low,1.12,1.1,1.26,T353
T355,MiBench,16.6,315.49,26.21,Low,1.5,1.01,23.41,T354
T356,TACLeBench,9.72,83.21,56.87,Low,1.45,0.94,11.37,T355
T357,EEMBC,7.36,205.19,141.96,High,1.29,0.81,12.36,T356
T358,MiBench,43.65,329.63,202.66,Low,1.21,1.07,48.45,T357
T359,EEMBC,28.65,182.23,139.14,Low,0.91,1.05,63.32,T358
T360,EEMBC,9.39,276.34,72.82,High,1.44,0.82,19.81,T359
T361,TACLeBench,11.27,92.51,79.53,High,1.4,0.9,16.12,T145
